Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Do Not Deserve To Be My Boyfriend","Xinyi Huang","Do Not Deserve To Be My Boyfriend","Favorite Songs","Favorite","AUV401201835","0u62azNs1qFUhExPj6vPHZ"
"Liekkas","Sofia Jannok","Áššogáttis: By the Embers","Favorite Songs","Favorite","SEAGA0813030","3WGhMNBudyOzDU4lU9vTiC"
"絕","Maggie Fu","傅珮嘉","Favorite Songs","Favorite","HKA619900120","2p6sSfFaPXRF8HBiQBGVKJ"
"我是如此相信","Jay Chou","最偉大的作品","Favorite Songs","Favorite","TWK971901301","01blZNS5FgyRsPJAXxvxvo"
"年轻的朋友来相会","李谷一","百年","Favorite Songs","Favorite","HKG732155863","61HPa0BnLuu3iLHHfBqeio"
"心愿（湖水是你的眼神）","方大树","心愿（湖水是你的眼神）","Favorite Songs","Favorite","QT3T42514157","3PltvggXWXWWLsz1746pol"
"有风无风皆自由 - 心若无所求女版","趣巧巧","有风无风皆自由 (心若无所求女版)","Favorite Songs","Favorite","DGA092436610","6mX1WIp3qapxSUwYouUNHp"
"匆匆那年","Faye Wong","匆匆那年","Favorite Songs","Favorite","HKH721403011","3z4leqkfSaXQPAyGwQruTe"
"睡在我上鋪的兄弟","Lao Lang","戀戀風塵","Favorite Songs","Favorite","CNZ171500473","5R0dYVYwZwRY4FXRoEmDqM"
"光陰的故事","羅大佑","之乎者也","Favorite Songs","Favorite","TWAW18200009","4qsESiC3wgGj1kXJTdICF2"
"姑娘別哭泣","柯柯柯啊","姑娘別哭泣","Favorite Songs","Favorite","HKA412300460","4CbRdt1vl6MUwEnsJieYjb"
"寂寞沙洲冷","Steve Chou","星空下的傳說","Favorite Songs","Favorite","TWA750500203","7IcHz4fREJdi4VeoObI1Uh"
"忘不掉的伤","姜玉阳","丢了幸福的猪","Favorite Songs","Favorite","HKD012387590","22onFCEqxtVzULiP80IQuK"
"烟雨唱扬州 - 浅影版","浅影阿","烟雨唱扬州 (浅影版)","Favorite Songs","Favorite","HKG731681962","5XmgtdZDVFWElRMi2dLLNm"
"无名的人 - Live","孙楠","声生不息.家年华 (第三期 live)","Favorite Songs","Favorite","FR59R2545043","0nK0BoVX0aVZSYqbepEwjl"
